# Time-averaged data for fix myat2
# TimeStep v_longforce
5100 -5.048
5200 15.4386
5300 21.0183
5400 -4.04804
5500 12.2042
5600 15.4015
5700 7.05474
5800 5.632
5900 6.24432
6000 16.3336
6100 -2.01404
6200 1.12378
6300 16.538
6400 -10.2677
6500 2.75502
6600 -0.679317
6700 10.3543
6800 0.645975
6900 -7.3152
7000 15.4741
7100 -12.4428
7200 -0.214793
7300 2.06054
7400 -15.4529
7500 1.921
7600 -11.9289
7700 7.20758
7800 -6.99345
7900 -10.0666
8000 -0.120436
8100 -12.6666
8200 -2.575
8300 -11.8943
8400 -18.1921
8500 -5.78106
8600 -9.38867
8700 -7.02879
8800 -16.7694
8900 -8.97883
9000 -8.03667
9100 -16.2962
9200 -14.339
9300 -9.68185
9400 -26.2163
9500 -16.7904
9600 -14.9722
9700 -10.5709
9800 -23.1774
9900 -21.4178
10000 -9.10274
10100 -26.9228
10200 -14.5312
10300 -19.3725
10400 -31.3095
10500 -24.1228
10600 -20.3681
10700 -15.4328
10800 -31.8345
10900 -23.5155
11000 -22.6901
11100 -21.2713
11200 -27.8187
11300 -28.9402
11400 -37.468
11500 -23.8049
11600 -27.2198
11700 -26.4203
11800 -37.518
11900 -30.7494
12000 -23.2409
12100 -31.4021
12200 -33.2678
12300 -33.7144
12400 -37.4945
12500 -33.6166
12600 -36.6019
12700 -31.0479
12800 -35.1118
12900 -35.5087
13000 -36.5623
13100 -35.9307
13200 -38.7932
13300 -34.1117
13400 -48.6019
13500 -36.2112
13600 -40.4538
13700 -36.2772
13800 -46.1654
13900 -36.6884
14000 -43.9311
14100 -43.6318
14200 -44.7002
14300 -37.0714
14400 -50.3555
14500 -41.1348
14600 -53.1384
14700 -40.5105
14800 -48.4941
14900 -43.5944
15000 -49.3247
15100 -47.6172
15200 -48.8313
15300 -45.5468
15400 -56.5553
15500 -47.2268
15600 -56.1121
15700 -44.5005
15800 -54.0146
15900 -50.7381
16000 -54.181
16100 -51.3152
16200 -52.5361
16300 -51.0272
16400 -59.8289
16500 -55.8736
16600 -58.7363
16700 -51.6441
16800 -54.9942
16900 -59.7739
17000 -56.7535
17100 -60.023
17200 -51.5911
17300 -61.417
17400 -59.0173
17500 -65.86
17600 -55.66
17700 -63.8403
17800 -55.0653
17900 -69.3958
18000 -56.1409
18100 -71.2753
18200 -55.3515
18300 -68.9102
18400 -56.5453
18500 -76.8828
18600 -59.9468
18700 -68.8284
18800 -54.5042
18900 -73.9324
19000 -65.0382
19100 -75.2481
19200 -59.3096
19300 -66.1266
19400 -67.2308
19500 -82.4137
19600 -68.7287
19700 -63.9087
19800 -66.1704
19900 -70.9201
20000 -76.6333
20100 -72.0504
20200 -68.012
20300 -67.006
20400 -77.6368
20500 -83.0169
20600 -68.5945
20700 -71.4614
20800 -70.1298
20900 -77.3334
21000 -77.4223
21100 -80.7816
21200 -69.1032
21300 -73.8985
21400 -79.0808
21500 -84.493
21600 -78.5743
21700 -74.1784
21800 -76.29
21900 -78.9607
22000 -82.8069
22100 -81.5715
22200 -78.11
22300 -76.1287
22400 -82.2042
22500 -87.9392
22600 -81.6661
22700 -82.3177
22800 -78.2507
22900 -78.7156
23000 -84.6581
23100 -90.6839
23200 -82.2161
23300 -81.4237
23400 -78.0629
23500 -92.1957
23600 -86.524
23700 -86.4648
23800 -83.4585
23900 -81.2712
24000 -90.3234
24100 -89.8209
24200 -86.5569
24300 -84.2688
24400 -85.2456
24500 -92.9249
24600 -90.9002
24700 -90.4603
24800 -87.2493
24900 -86.6612
25000 -92.6454
25100 -95.6144
25200 -88.6081
25300 -86.9912
25400 -87.7665
25500 -92.6941
25600 -101.347
25700 -90.346
25800 -89.3554
25900 -88.4956
26000 -94.6604
26100 -103.566
26200 -90.3051
26300 -93.527
26400 -88.7161
26500 -97.1123
26600 -105.745
26700 -90.2409
26800 -94.522
26900 -89.4553
27000 -96.6372
27100 -106.495
