# Time-averaged data for fix myat1
# TimeStep v_L
5100 34.781
5200 34.781
5300 34.781
5400 34.781
5500 34.781
5600 34.781
5700 34.781
5800 34.781
5900 34.781
6000 34.781
6100 34.981
6200 34.981
6300 34.981
6400 34.981
6500 34.981
6600 34.981
6700 34.981
6800 34.981
6900 34.981
7000 34.981
7100 35.181
7200 35.181
7300 35.181
7400 35.181
7500 35.181
7600 35.181
7700 35.181
7800 35.181
7900 35.181
8000 35.181
8100 35.381
8200 35.381
8300 35.381
8400 35.381
8500 35.381
8600 35.381
8700 35.381
8800 35.381
8900 35.381
9000 35.381
9100 35.581
9200 35.581
9300 35.581
9400 35.581
9500 35.581
9600 35.581
9700 35.581
9800 35.581
9900 35.581
10000 35.581
10100 35.781
10200 35.781
10300 35.781
10400 35.781
10500 35.781
10600 35.781
10700 35.781
10800 35.781
10900 35.781
11000 35.781
11100 35.981
11200 35.981
11300 35.981
11400 35.981
11500 35.981
11600 35.981
11700 35.981
11800 35.981
11900 35.981
12000 35.981
12100 36.181
12200 36.181
12300 36.181
12400 36.181
12500 36.181
12600 36.181
12700 36.181
12800 36.181
12900 36.181
13000 36.181
13100 36.381
13200 36.381
13300 36.381
13400 36.381
13500 36.381
13600 36.381
13700 36.381
13800 36.381
13900 36.381
14000 36.381
14100 36.581
14200 36.581
14300 36.581
14400 36.581
14500 36.581
14600 36.581
14700 36.581
14800 36.581
14900 36.581
15000 36.581
15100 36.781
15200 36.781
15300 36.781
15400 36.781
15500 36.781
15600 36.781
15700 36.781
15800 36.781
15900 36.781
16000 36.781
16100 36.981
16200 36.981
16300 36.981
16400 36.981
16500 36.981
16600 36.981
16700 36.981
16800 36.981
16900 36.981
17000 36.981
17100 37.181
17200 37.181
17300 37.181
17400 37.181
17500 37.181
17600 37.181
17700 37.181
17800 37.181
17900 37.181
18000 37.181
18100 37.381
18200 37.381
18300 37.381
18400 37.381
18500 37.381
18600 37.381
18700 37.381
18800 37.381
18900 37.381
19000 37.381
19100 37.581
19200 37.581
19300 37.581
19400 37.581
19500 37.581
19600 37.581
19700 37.581
19800 37.581
19900 37.581
20000 37.581
20100 37.781
20200 37.781
20300 37.781
20400 37.781
20500 37.781
20600 37.781
20700 37.781
20800 37.781
20900 37.781
21000 37.781
21100 37.981
21200 37.981
21300 37.981
21400 37.981
21500 37.981
21600 37.981
21700 37.981
21800 37.981
21900 37.981
22000 37.981
22100 38.181
22200 38.181
22300 38.181
22400 38.181
22500 38.181
22600 38.181
22700 38.181
