# Time-averaged data for fix myat2
# TimeStep v_rho_SI v_rho
0 7.47899 0.00450385
1000 7.47899 0.00450385
2000 7.47899 0.00450385
3000 7.47899 0.00450385
4000 7.47899 0.00450385
5000 7.47899 0.00450385
6000 7.47899 0.00450385
7000 7.47899 0.00450385
8000 7.47899 0.00450385
9000 7.47899 0.00450385
10000 7.47899 0.00450385
11000 7.47899 0.00450385
12000 7.47899 0.00450385
13000 7.47899 0.00450385
14000 7.47899 0.00450385
15000 7.47899 0.00450385
16000 7.47899 0.00450385
17000 7.47899 0.00450385
18000 7.47899 0.00450385
19000 7.47899 0.00450385
20000 7.47899 0.00450385
21000 7.47899 0.00450385
22000 7.47899 0.00450385
23000 7.47899 0.00450385
24000 7.47899 0.00450385
25000 7.47899 0.00450385
26000 7.47899 0.00450385
27000 7.47899 0.00450385
28000 7.47899 0.00450385
29000 7.47899 0.00450385
30000 7.47899 0.00450385
31000 7.47899 0.00450385
32000 7.47899 0.00450385
33000 7.47899 0.00450385
34000 7.47899 0.00450385
35000 7.47899 0.00450385
36000 7.47899 0.00450385
37000 7.47899 0.00450385
38000 7.47899 0.00450385
39000 7.47899 0.00450385
40000 7.47899 0.00450385
41000 7.47899 0.00450385
42000 7.47899 0.00450385
43000 7.47899 0.00450385
44000 7.47899 0.00450385
45000 7.47899 0.00450385
46000 7.47899 0.00450385
47000 7.47899 0.00450385
48000 7.47899 0.00450385
49000 7.47899 0.00450385
50000 7.47899 0.00450385
51000 7.47899 0.00450385
52000 7.47899 0.00450385
53000 7.47899 0.00450385
54000 7.47899 0.00450385
55000 7.47899 0.00450385
56000 7.47899 0.00450385
57000 7.47899 0.00450385
58000 7.47899 0.00450385
59000 7.47899 0.00450385
60000 7.47899 0.00450385
61000 7.47899 0.00450385
62000 7.47899 0.00450385
63000 7.47899 0.00450385
64000 7.47899 0.00450385
65000 7.47899 0.00450385
66000 7.47899 0.00450385
67000 7.47899 0.00450385
68000 7.47899 0.00450385
69000 7.47899 0.00450385
70000 7.47899 0.00450385
71000 7.47899 0.00450385
72000 7.47899 0.00450385
73000 7.47899 0.00450385
74000 7.47899 0.00450385
75000 7.47899 0.00450385
76000 7.47899 0.00450385
77000 7.47899 0.00450385
78000 7.47899 0.00450385
79000 7.47899 0.00450385
80000 7.47899 0.00450385
81000 7.47899 0.00450385
82000 7.47899 0.00450385
