# Time-averaged data for fix myat1
# TimeStep v_qtot c_q1 c_q2 c_q3 c_q4
0 2.22045e-16 0.0156055 0 -0.434641 0.284559
1000 -1.11022e-16 0.022784 0 -0.450161 0.292513
2000 1.11022e-16 0.01459 0 -0.459859 0.301709
3000 -2.22045e-16 0.0149923 0 -0.443719 0.290815
4000 2.22045e-16 0.0182657 0 -0.452736 0.295736
5000 2.22045e-16 0.0115154 0 -0.480842 0.316723
6000 2.22045e-16 0.0152881 0 -0.493343 0.323799
7000 -1.11022e-16 0.0238456 0 -0.494775 0.321902
8000 2.22045e-16 0.0250373 0 -0.488242 0.317149
9000 2.22045e-16 0.0114944 0 -0.504096 0.332232
10000 0 0.0299847 0 -0.452403 0.291607
11000 0 0.0245672 0 -0.447091 0.289872
12000 2.22045e-16 0.0115053 0 -0.481199 0.316964
13000 4.44089e-16 0.0110147 0 -0.481261 0.317169
14000 1.11022e-16 0.0178164 0 -0.459235 0.300218
15000 0 0.0158287 0 -0.475141 0.311485
16000 -2.22045e-16 0.0223169 0 -0.455372 0.296142
17000 0 0.0225384 0 -0.454161 0.295261
18000 0 0.0166849 0 -0.475619 0.311518
19000 -1.11022e-16 0.0167246 0 -0.477539 0.312785
20000 0 0.019128 0 -0.457618 0.298703
21000 3.33067e-16 0.0178689 0 -0.459017 0.300055
22000 -1.11022e-16 0.019365 0 -0.452013 0.294887
23000 2.22045e-16 0.0100296 0 -0.460297 0.303522
24000 0 0.0297055 0 -0.47644 0.307725
25000 -1.11022e-16 0.0237393 0 -0.469882 0.305342
26000 2.22045e-16 0.0170794 0 -0.462169 0.30242
27000 -1.11022e-16 0.0213414 0 -0.453035 0.294909
28000 0 0.0231845 0 -0.475988 0.309597
29000 -2.22045e-16 0.0354506 0 -0.430508 0.275188
30000 0 0.0162947 0 -0.477585 0.312959
31000 -3.33067e-16 0.0216672 0 -0.464368 0.302356
32000 0 0.0162659 0 -0.477343 0.312807
33000 0 0.0202591 0 -0.493346 0.322144
34000 0 0.0163189 0 -0.489483 0.320882
35000 -2.22045e-16 0.0257212 0 -0.472785 0.306616
36000 0 0.0215586 0 -0.463514 0.301823
37000 4.44089e-16 0.0218282 0 -0.452024 0.294073
38000 0 0.0174349 0 -0.453282 0.296376
39000 3.33067e-16 0.0266293 0 -0.466921 0.302404
40000 -1.11022e-16 0.0187884 0 -0.460718 0.300882
41000 -3.33067e-16 0.0120231 0 -0.473079 0.311378
42000 -2.22045e-16 0.019448 0 -0.47294 0.308811
43000 0 0.0279296 0 -0.450864 0.291266
44000 1.11022e-16 0.030994 0 -0.466289 0.300528
45000 2.22045e-16 0.0144593 0 -0.467164 0.306623
46000 -1.11022e-16 0.0114676 0 -0.433151 0.284945
47000 1.11022e-16 0.0262166 0 -0.462493 0.29959
48000 0 0.0293967 0 -0.441912 0.284809
49000 -2.22045e-16 0.0134365 0 -0.487221 0.320335
50000 -1.11022e-16 0.0252778 0 -0.48003 0.311594
51000 1.11022e-16 0.0158179 0 -0.469529 0.307747
52000 0 0.0173949 0 -0.474615 0.310612
53000 -1.11022e-16 0.0170052 0 -0.46577 0.304845
54000 0 0.0110906 0 -0.550032 0.362991
55000 0 0.0179712 0 -0.518368 0.339588
56000 -2.22045e-16 0.0154263 0 -0.534636 0.351282
57000 4.44089e-16 0.0158924 0 -0.5402 0.354836
58000 0 0.0185591 0 -0.505571 0.330861
59000 2.22045e-16 0.0163943 0 -0.519041 0.340563
60000 4.44089e-16 0.013536 0 -0.555416 0.365766
61000 -2.22045e-16 0.0193886 0 -0.514089 0.336263
62000 -2.22045e-16 0.0218926 0 -0.497911 0.324643
63000 -2.22045e-16 0.0178885 0 -0.525962 0.344679
64000 -1.11022e-16 0.0198277 0 -0.49882 0.325937
65000 2.22045e-16 0.0173858 0 -0.536824 0.352087
