# Time-averaged data for fix myavt
# TimeStep v_Ntot
0 0
1000 0
2000 0
3000 0
4000 0
5000 0
6000 0
7000 0
8000 0
9000 0
10000 0
11000 0
12000 0
13000 0
14000 0
15000 0
16000 0
17000 0
18000 0
19000 0
20000 0
21000 0
22000 0
23000 0
24000 0
25000 0
26000 0
27000 0
28000 0
29000 0
30000 0
31000 0
32000 0
33000 0
34000 0
35000 1
36000 1
37000 0
38000 0
39000 0
40000 0
41000 0
42000 1
43000 1
44000 0
45000 0
46000 0
47000 1
48000 0
49000 0
50000 0
51000 1
52000 1
53000 1
54000 1
55000 1
56000 1
57000 1
58000 1
59000 1
60000 1
61000 1
62000 0
63000 0
64000 1
65000 1
66000 1
67000 1
68000 1
69000 1
70000 1
71000 1
72000 1
73000 1
74000 1
75000 1
76000 0
77000 1
78000 1
79000 1
80000 1
81000 1
82000 1
83000 1
84000 1
85000 1
86000 1
87000 1
88000 1
89000 1
90000 0
91000 1
92000 1
93000 1
94000 2
95000 1
96000 1
97000 1
98000 2
99000 3
100000 2
101000 2
102000 2
103000 2
104000 1
105000 1
106000 1
107000 1
108000 1
109000 1
110000 1
111000 2
112000 1
113000 2
114000 2
115000 2
116000 1
117000 1
118000 3
119000 0
120000 0
121000 1
122000 0
123000 1
124000 0
125000 1
126000 1
127000 1
128000 1
129000 0
130000 0
131000 1
132000 0
133000 1
134000 0
135000 0
136000 0
137000 0
138000 1
139000 1
140000 1
141000 0
142000 1
143000 1
144000 1
145000 0
146000 1
147000 0
148000 1
149000 1
150000 2
151000 2
152000 2
153000 2
154000 2
155000 1
156000 1
157000 2
158000 1
159000 1
160000 1
161000 1
162000 3
163000 3
164000 1
165000 1
166000 2
167000 1
168000 1
169000 1
170000 1
171000 1
172000 1
173000 1
174000 1
175000 1
176000 1
177000 1
178000 0
179000 1
180000 0
181000 1
182000 1
183000 1
184000 1
185000 1
186000 1
187000 1
188000 1
189000 1
190000 1
191000 0
192000 1
193000 1
194000 1
195000 1
196000 0
197000 1
198000 2
199000 2
200000 2
201000 2
202000 2
203000 2
204000 2
205000 1
206000 1
207000 1
208000 0
209000 0
210000 0
211000 0
212000 1
213000 1
214000 1
215000 0
216000 1
217000 2
218000 2
219000 0
220000 0
221000 1
222000 0
223000 0
224000 0
225000 0
226000 0
227000 1
228000 2
229000 0
230000 2
231000 1
232000 1
233000 2
234000 2
235000 1
236000 2
237000 1
238000 2
239000 2
