# Time-averaged data for fix at1
# TimeStep v_zedge v_zrefe
20000 4.10726 0.737525
20010 4.10976 0.737525
20020 4.11226 0.737525
20030 4.11476 0.737525
20040 4.11726 0.737525
20050 4.11976 0.737525
20060 4.12226 0.737525
20070 4.12476 0.737525
20080 4.12726 0.737525
20090 4.12976 0.737525
20100 4.13226 0.737525
20110 4.13476 0.737525
20120 4.13726 0.737525
20130 4.13976 0.737525
20140 4.14226 0.737525
20150 4.14476 0.737525
20160 4.14726 0.737525
20170 4.14976 0.737525
20180 4.15226 0.737525
20190 4.15476 0.737525
20200 4.15726 0.737525
20210 4.15976 0.737525
20220 4.16226 0.737525
20230 4.16476 0.737525
20240 4.16726 0.737525
20250 4.16976 0.737525
20260 4.17226 0.737525
20270 4.17476 0.737525
20280 4.17726 0.737525
20290 4.17976 0.737525
20300 4.18226 0.737525
20310 4.18476 0.737525
20320 4.18726 0.737525
20330 4.18976 0.737525
20340 4.19226 0.737525
20350 4.19476 0.737525
20360 4.19726 0.737525
20370 4.19976 0.737525
20380 4.20226 0.737525
20390 4.20476 0.737525
20400 4.20726 0.737525
20410 4.20976 0.737525
20420 4.21226 0.737525
20430 4.21476 0.737525
20440 4.21726 0.737525
20450 4.21976 0.737525
20460 4.22226 0.737525
20470 4.22476 0.737525
20480 4.22726 0.737525
20490 4.22976 0.737525
20500 4.23226 0.737525
20510 4.23476 0.737525
20520 4.23726 0.737525
20530 4.23976 0.737525
20540 4.24226 0.737525
20550 4.24476 0.737525
20560 4.24726 0.737525
20570 4.24976 0.737525
20580 4.25226 0.737525
20590 4.25476 0.737525
20600 4.25726 0.737525
20610 4.25976 0.737525
20620 4.26226 0.737525
20630 4.26476 0.737525
20640 4.26726 0.737525
20650 4.26976 0.737525
20660 4.27226 0.737525
20670 4.27476 0.737525
20680 4.27726 0.737525
20690 4.27976 0.737525
20700 4.28226 0.737525
20710 4.28476 0.737525
20720 4.28726 0.737525
20730 4.28976 0.737525
20740 4.29226 0.737525
20750 4.29476 0.737525
20760 4.29726 0.737525
20770 4.29976 0.737525
20780 4.30226 0.737525
20790 4.30476 0.737525
20800 4.30726 0.737525
20810 4.30976 0.737525
20820 4.31226 0.737525
20830 4.31476 0.737525
20840 4.31726 0.737525
20850 4.31976 0.737525
20860 4.32226 0.737525
20870 4.32476 0.737525
20880 4.32726 0.737525
20890 4.32976 0.737525
20900 4.33226 0.737525
20910 4.33476 0.737525
20920 4.33726 0.737525
20930 4.33976 0.737525
20940 4.34226 0.737525
20950 4.34476 0.737525
20960 4.34726 0.737525
20970 4.34976 0.737525
20980 4.35226 0.737525
20990 4.35476 0.737525
21000 4.35726 0.737525
21010 4.35976 0.737525
21020 4.36226 0.737525
21030 4.36476 0.737525
21040 4.36726 0.737525
21050 4.36976 0.737525
21060 4.37226 0.737525
21070 4.37476 0.737525
21080 4.37726 0.737525
21090 4.37976 0.737525
21100 4.38226 0.737525
21110 4.38476 0.737525
21120 4.38726 0.737525
21130 4.38976 0.737525
21140 4.39226 0.737525
21150 4.39476 0.737525
21160 4.39726 0.737525
21170 4.39976 0.737525
21180 4.40226 0.737525
21190 4.40476 0.737525
21200 4.40726 0.737525
21210 4.40976 0.737525
21220 4.41226 0.737525
21230 4.41476 0.737525
21240 4.41726 0.737525
21250 4.41976 0.737525
21260 4.42226 0.737525
21270 4.42476 0.737525
21280 4.42726 0.737525
21290 4.42976 0.737525
21300 4.43226 0.737525
21310 4.43476 0.737525
21320 4.43726 0.737525
21330 4.43976 0.737525
21340 4.44226 0.737525
21350 4.44476 0.737525
21360 4.44726 0.737525
21370 4.44976 0.737525
21380 4.45226 0.737525
