# Time-averaged data for fix at2
# TimeStep v_fedgeZ f_mysf2[3]
20000 0.268993 0.422142
20010 0.172874 0.271298
20020 0.0486909 0.0764127
20030 -0.0010855 -0.00170352
20040 -0.0989124 -0.155227
20050 -0.14059 -0.220634
20060 -0.112336 -0.176294
20070 -0.1792 -0.281226
20080 -0.248583 -0.390112
20090 -0.239104 -0.375236
20100 -0.25436 -0.399177
20110 -0.269974 -0.423682
20120 -0.18568 -0.291396
20130 -0.105143 -0.165005
20140 -0.170194 -0.267093
20150 -0.21617 -0.339245
20160 -0.104845 -0.164538
20170 -0.109524 -0.171881
20180 -0.263916 -0.414175
20190 -0.27099 -0.425276
20200 -0.253731 -0.398191
20210 -0.426502 -0.669328
20220 -0.52251 -0.819996
20230 -0.478653 -0.75117
20240 -0.551461 -0.865432
20250 -0.597796 -0.938147
20260 -0.395655 -0.620918
20270 -0.272494 -0.427636
20280 -0.294291 -0.461843
20290 -0.174736 -0.274221
20300 -0.0195896 -0.0307428
20310 -0.0449748 -0.0705808
20320 -0.0569257 -0.0893359
20330 0.0648152 0.101717
20340 0.148276 0.232696
20350 0.0597116 0.0937079
20360 -0.0193028 -0.0302927
20370 -0.0132101 -0.0207312
20380 -0.100206 -0.157258
20390 -0.277479 -0.435459
20400 -0.2981 -0.46782
20410 -0.199076 -0.312419
20420 -0.225244 -0.353484
20430 -0.276178 -0.433418
20440 -0.139298 -0.218607
20450 -0.0732045 -0.114883
20460 -0.222851 -0.34973
20470 -0.247597 -0.388564
20480 -0.137324 -0.215509
20490 -0.138745 -0.217739
20500 -0.155326 -0.24376
20510 -0.0733237 -0.11507
20520 -0.0340921 -0.0535021
20530 -0.0181526 -0.0284876
20540 0.0410141 0.0643652
20550 -0.0380464 -0.0597079
20560 -0.149975 -0.235361
20570 -0.133042 -0.208789
20580 -0.162581 -0.255146
20590 -0.336671 -0.528353
20600 -0.323638 -0.5079
20610 -0.148365 -0.232836
20620 -0.33031 -0.518369
20630 -0.598675 -0.939527
20640 -0.478554 -0.751015
20650 -0.526163 -0.82573
20660 -0.837931 -1.315
20670 -0.763474 -1.19815
20680 -0.445926 -0.69981
20690 -0.483171 -0.758261
20700 -0.527782 -0.828271
20710 -0.200552 -0.314735
20720 -0.136263 -0.213843
20730 -0.394585 -0.619238
20740 -0.290318 -0.455608
20750 0.00133212 0.00209055
20760 -0.0300774 -0.0472018
20770 -0.1065 -0.167136
20780 0.0314825 0.0494068
20790 0.120904 0.18974
20800 0.0112657 0.0176798
20810 -0.0687241 -0.107852
20820 0.00569453 0.00893667
20830 0.107003 0.167925
20840 0.100768 0.15814
20850 0.103893 0.163044
20860 0.144791 0.227227
20870 0.0628504 0.0986338
20880 -0.0515435 -0.0808894
20890 -0.0429444 -0.0673944
20900 -0.125154 -0.196409
20910 -0.330383 -0.518484
20920 -0.344843 -0.541177
20930 -0.346745 -0.544162
20940 -0.564938 -0.886581
20950 -0.66277 -1.04011
20960 -0.596057 -0.935417
20970 -0.693905 -1.08897
20980 -0.830648 -1.30357
20990 -0.73508 -1.15359
21000 -0.640604 -1.00533
21010 -0.684036 -1.07349
21020 -0.643108 -1.00926
21030 -0.557537 -0.874967
21040 -0.649635 -1.0195
21050 -0.707784 -1.11076
21060 -0.669626 -1.05087
21070 -0.607876 -0.953966
21080 -0.429116 -0.67343
21090 -0.292247 -0.458636
21100 -0.3779 -0.593055
21110 -0.384544 -0.603481
21120 -0.161324 -0.253173
21130 -0.0866785 -0.136028
21140 -0.286555 -0.449704
21150 -0.380218 -0.596692
21160 -0.252933 -0.396938
21170 -0.224735 -0.352687
21180 -0.337442 -0.529562
21190 -0.307736 -0.482944
21200 -0.320015 -0.502212
21210 -0.698689 -1.09648
21220 -0.902527 -1.41637
21230 -0.6207 -0.97409
21240 -0.623826 -0.978996
21250 -1.04711 -1.64328
21260 -0.954105 -1.49732
21270 -0.549127 -0.861769
21280 -0.783549 -1.22966
21290 -0.932628 -1.46361
21300 -0.3641 -0.571397
21310 -0.170553 -0.267656
21320 -0.605155 -0.949695
21330 -0.602839 -0.946061
21340 -0.190249 -0.298566
21350 -0.198309 -0.311214
21360 -0.40111 -0.629478
21370 -0.109219 -0.171403
21380 0.0301124 0.0472567
21390 -0.422551 -0.663127
21400 -0.574899 -0.902213
21410 -0.353869 -0.555342
21420 -0.554559 -0.870293
21430 -0.864883 -1.3573
21440 -0.680682 -1.06822
21450 -0.518922 -0.814366
